model,train_cohort,test_cohort,feature,importance_mean,importance_std
Logistic Regression,Cleveland,Hungary,age,0.0005820955439583497,0.0033963466250843855
Logistic Regression,Cleveland,Hungary,resting_blood_pressure,8.36344172354749e-05,0.0020771933892636684
Logistic Regression,Cleveland,Hungary,serum_cholesterol,0.009873879298809164,0.004406529426067393
Logistic Regression,Cleveland,Hungary,max_heart_rate,0.008585909273384285,0.00601966141686086
Logistic Regression,Cleveland,Hungary,st_depression,0.03111702127659585,0.004908381608062512
Logistic Regression,Cleveland,Hungary,sex,0.040191355546634645,0.010524051544952645
Logistic Regression,Cleveland,Hungary,chest_pain_type,0.07308142646862045,0.011700498492132184
Logistic Regression,Cleveland,Hungary,fasting_blood_sugar,0.0003362103572863114,0.00021608777021391365
Logistic Regression,Cleveland,Hungary,resting_ecg,-0.0003830456309379652,0.0009926373052952275
Logistic Regression,Cleveland,Hungary,exercise_induced_angina,0.015201391676702902,0.004056404083394693
Random Forest,Cleveland,Hungary,age,0.0023350729292117307,0.003183914701801128
Random Forest,Cleveland,Hungary,resting_blood_pressure,0.0020707881707479393,0.001970761947219727
Random Forest,Cleveland,Hungary,serum_cholesterol,0.002172822159775082,0.0021779462105471566
Random Forest,Cleveland,Hungary,max_heart_rate,-0.001963736116686832,0.0067157351762714155
Random Forest,Cleveland,Hungary,st_depression,0.03280141843971619,0.006029761921481049
Random Forest,Cleveland,Hungary,sex,0.023280476381640467,0.0069653434026985045
Random Forest,Cleveland,Hungary,chest_pain_type,0.07871838619028493,0.01116566379557561
Random Forest,Cleveland,Hungary,fasting_blood_sugar,-0.00014552388598964387,0.00033168612745202987
Random Forest,Cleveland,Hungary,resting_ecg,-0.0013816405727286004,0.0009771478239132374
Random Forest,Cleveland,Hungary,exercise_induced_angina,0.03056837949953154,0.008093648727712425
Logistic Regression,Hungary,Cleveland,age,0.002447797859273478,0.0014821883795251717
Logistic Regression,Hungary,Cleveland,resting_blood_pressure,0.0014403111657015392,0.0009590866012153126
Logistic Regression,Hungary,Cleveland,serum_cholesterol,0.007789378253494709,0.006330182881853167
Logistic Regression,Hungary,Cleveland,max_heart_rate,0.004315084517751603,0.0010294338668976881
Logistic Regression,Hungary,Cleveland,st_depression,0.10392758963560851,0.02172070596894232
Logistic Regression,Hungary,Cleveland,sex,0.032344855822658905,0.0070116827991779
Logistic Regression,Hungary,Cleveland,chest_pain_type,0.0882961923144411,0.017748482089854262
Logistic Regression,Hungary,Cleveland,fasting_blood_sugar,-0.004081125343627582,0.008255693595862446
Logistic Regression,Hungary,Cleveland,resting_ecg,-0.0016377142188688724,0.002986403745011484
Logistic Regression,Hungary,Cleveland,exercise_induced_angina,0.01391764637070824,0.005124561321911975
Random Forest,Hungary,Cleveland,age,0.005177808972334249,0.0018676530425400723
Random Forest,Hungary,Cleveland,resting_blood_pressure,0.004215651868748834,0.0021871101602973964
Random Forest,Hungary,Cleveland,serum_cholesterol,0.004018248815581634,0.002998049831224484
Random Forest,Hungary,Cleveland,max_heart_rate,0.0012487570918874203,0.00251539435555865
Random Forest,Hungary,Cleveland,st_depression,0.04224279113294724,0.010990490273267577
Random Forest,Hungary,Cleveland,sex,0.023542141896239033,0.006384231965785793
Random Forest,Hungary,Cleveland,chest_pain_type,0.1049453120430484,0.022919029869551813
Random Forest,Hungary,Cleveland,fasting_blood_sugar,-0.0004957010001755524,0.0013750925891419313
Random Forest,Hungary,Cleveland,resting_ecg,-0.0016888927882084848,0.0008830857228986316
Random Forest,Hungary,Cleveland,exercise_induced_angina,0.03524010060244482,0.012927369125144826
